Meses,ROI 60 Dias 2016,ROI 60 Dias 2017,ROI 60 Dias 2018,ROI 60 Dias 2019,ROI 60 Dias 2020,ROI 60 Dias Médio
Jan,698.9063141656255,135.51241653530894,10.256470401464039,2.6593777835611534,69.01808687920933,183.2705331530338
Fev,423.7031604499491,352.09340357306564,-65.72548322749324,33.08245633915744,-25.661377544162043,143.49843191810336
Mar,17.629435916105272,364.8323382458505,-19.642196310813688,13.72020433376484,-1.2824388988091122,75.05146865721956
Abr,20.395215806310034,358.8369120079463,40.311831461185804,80.36858265032441,82.16469743622886,116.41544787239908
Mai,50.98438256282076,270.4687616657555,-34.73881745943234,99.96479842909667,11.018777251449476,79.53958048993802
Jun,-14.356605174726264,-8.35821849713008,-19.87769857441698,-21.810555452625994,44.079747282121616,-4.06466608335554
Jul,-9.073810030751945,44.357327027857835,-35.80639217693133,-42.35766530590557,77.03336158515856,6.83056421988551
Ago,20.298500594065114,30.909015875438378,-46.40087658305851,-22.379086166737487,3.8793200733219817,-2.738625241394106
Set,-9.34921546196911,-21.431973079878798,-30.038188042192736,6.427960323215178,-12.116845907070786,-13.30165243357925
Out,-34.81336342216205,51.551230401567516,-49.435224049610035,-14.186837305050254,59.831129682707754,2.5893870614905863
Nov,-25.771746228222668,165.00695371282842,-30.71267014855794,-28.06673855484992,95.11895574207968,35.114950904655515
Dez,25.24502400160451,147.28643395760457,-7.764385372549537,14.479790771775495,125.43947422189237,60.93726751606548
