Meses,ROI 30 Dias 2018,ROI 30 Dias 2019,ROI 30 Dias 2020,ROI 30 Dias Médio
Jan,-32.848423992289696,-2.765505461508454,69.76488753120569,8.537739519351884
Fev,-41.65498343902732,10.89783184143949,-14.256009799825984,-11.253290349353453
Mar,-52.02161233409743,67.81132565936416,-36.82993670156011,-5.260055844073346
Abr,119.37328583502027,-0.4822289644794099,59.414120664514314,44.576294383763795
Mai,-37.86063428595012,21.898469051939422,56.538908323083106,10.1441857722681
Jun,-38.56762686507737,-7.221793770401784,11.628019469871557,-8.5403502914019
Jul,11.633635806791084,-28.178657257515212,69.53849588890215,13.248368609544505
Ago,-29.476950711499732,-29.97764252037874,-15.765931965658348,-18.805131299384207
Set,-16.688537074868538,-13.569535900065087,-17.27458737435547,-11.883165087322274
Out,-17.81560007067219,7.620708267446366,-7.76924475533564,-4.491034139640366
Nov,-44.552777581477784,-2.3666251380456225,83.59140966291709,9.16800173584842
Dez,9.417645012641925,-17.281552478699886,8.206681942947816,0.08569361922246355
