Ano,ROI,Preço Inicial
2014,-59.10177924818297,767.74
2015,38.356072766185065,313.9920000000001
2016,129.73940385841584,434.4269999999999
2017,1312.1143059493413,998.05
2018,-73.79995334106735,14093.6068305274
2019,94.856936704551,3692.5315655246986
2020,303.3606343533199,7195.153895430029
