Meses,ROI 90 Dias 2018,ROI 90 Dias 2019,ROI 90 Dias 2020,ROI 90 Dias Médio
Jan,-79.18303490374858,72.6430010378882,-9.090776452809509,-3.907702579667472
Fev,-28.65414611233909,79.36937240519325,-10.8459677268056,9.96731464151214
Mar,-33.54663641965642,112.49349333897942,35.98098450158368,28.731960355226672
Abr,-19.551724642262162,29.256603249039344,178.18984482071238,46.97368085687239
Mai,-52.1259577449617,-13.371565043540148,190.88459479826895,31.34676800244177
Jun,-53.051040528227844,-50.321786367472335,56.61965099314767,-11.688293975638127
Jul,-39.03618231213759,-53.557269321211834,20.450340928539212,-18.035777676202553
Ago,-51.29200256658032,-32.304909527763485,-31.534485801294792,-28.78284947390965
Set,-59.07054750676155,-8.240303601843166,36.2394268789276,-7.767856057419278
Out,-52.28687439930145,-12.047072281325038,90.88937044503177,6.638855941101319
Nov,-46.09912731614093,28.581525971890926,274.20182431534573,64.17105574277393
Dez,9.559945407597512,21.157179433709288,664.3491210355597,173.76656146921664
