,Meses,ROI 30 Dias 2014,ROI 30 Dias 2015,ROI 30 Dias 2016,ROI 30 Dias 2017,ROI 30 Dias 2018,ROI 30 Dias 2019,ROI 30 Dias 2020,ROI 30 Dias Médio
1,Jan,6.537369421939711,-27.937750006369605,-16.13044308940281,-2.9841891688793214,-29.118997736203607,-6.354689518148214,32.16958627688744,-6.259873402882343
2,Fev,-29.636525248642677,24.021996758735227,14.40379904107633,30.709106670023324,9.724466863052307,11.296866546426703,-7.952871104988082,7.509548503669018
3,Mar,-18.337647962007463,-5.602592085988916,-3.7102633232182964,-12.155211035998141,-33.33824354182985,7.5544669016925745,-25.135632153977628,-12.960731885903959
4,Abr,-4.935073236486829,-5.6874365567084615,8.599317583034587,29.780336935258443,31.868479678276028,28.98198941753757,34.08643419111444,17.52772114457511
5,Mai,36.34626722154434,-1.3155435478943238,17.414139003782694,65.36517222894751,-19.757561532005788,57.02246111892122,12.218262307067016,23.89902811433753
6,Jun,0.5894292020281849,15.309124485374662,25.695516054365253,0.1553449648467857,-14.66009393227424,26.965324047220047,-3.351020020951178,7.243374971515644
7,Jul,-9.434631485601825,10.16297852243393,-7.962731662023241,17.68767189823084,28.578054236493568,-12.120205280091238,21.493387095521264,6.914931903566185
8,Ago,-19.169192711800296,-18.034573393648902,-5.611041791985116,71.7802746937817,-9.22823973868825,-4.710413977599234,3.315092253827971,2.620272190555411
9,Set,-19.949770921777198,4.654233015837531,7.430130778646274,-10.602382181193729,-5.714490520873581,-13.906091219729824,-7.7229071894552765,-6.544468319792259
10,Out,-11.632345973094752,31.355185041546115,13.763546131778673,46.48732153883334,-4.440906468364727,10.888066135333174,25.68306933126856,16.01484796247148
11,Nov,17.13480276180696,11.83176711422964,3.270685198263882,63.75382122753243,-37.02111117137324,-17.43288447212831,42.3182897632227,11.97933863165058
12,Dez,-16.366745808178884,18.62401981015275,28.35303807467657,34.95783805159917,-4.986953408836855,-4.181472321639905,47.05758433635246,14.77961553344647
