,Data,ETHUSD,MarketCap,Volume
1,2016-01-01 00:00:00.000000000,0.9463133430749894,71849843.66511223,202032.13336863558
2,2016-01-02 00:00:00.000000000,0.9381261621726148,71252107.9687766,252880.2353165073
3,2016-01-03 00:00:00.000000000,0.9721969755035614,73864483.22222728,402755.9084078687
4,2016-01-04 00:00:00.000000000,0.9592978352147374,72909192.00505088,341506.82136802946
5,2016-01-05 00:00:00.000000000,0.9531022411427653,72462361.87937805,217443.23809763335
6,2016-01-06 00:00:00.000000000,0.9684340117908705,73650960.93328463,328507.1523817127
7,2016-01-07 00:00:00.000000000,0.9589767803876823,72931723.30621576,642269.5176489778
8,2016-01-08 00:00:00.000000000,0.9955747811931686,75767382.4398899,554403.4018238547
9,2016-01-09 00:00:00.000000000,1.02478096778813,78016544.33428131,254045.62911324683
10,2016-01-10 00:00:00.000000000,1.01996585607406,77676004.65241879,404315.93496207293
11,2016-01-11 00:00:00.000000000,1.068726621062779,81416101.6377075,1025253.0383450065
12,2016-01-12 00:00:00.000000000,1.167362900827917,88958959.89936547,2962550.3945903103
13,2016-01-13 00:00:00.000000000,1.12958834642001,86108971.48293594,1003321.3604582713
14,2016-01-14 00:00:00.000000000,1.157377553252501,88257219.96322113,731050.8483768429
15,2016-01-15 00:00:00.000000000,1.21073546288485,92329493.82516772,4049516.2124520643
16,2016-01-16 00:00:00.000000000,1.215691295024754,92765190.35300171,2377737.1425659666
17,2016-01-17 00:00:00.000000000,1.321855711753408,100866229.13386133,1176009.00668505
18,2016-01-18 00:00:00.000000000,1.39830112692888,106770204.99600992,4073710.1202780646
19,2016-01-19 00:00:00.000000000,1.3769900190471,105177492.60810892,1684557.2914079635
20,2016-01-20 00:00:00.000000000,1.565411904541257,119608403.90910526,2899771.051018662
21,2016-01-21 00:00:00.000000000,1.544691862235827,118064297.75775222,1670627.3218903034
22,2016-01-22 00:00:00.000000000,1.471341822504971,112494896.69290045,1585027.991812104
23,2016-01-23 00:00:00.000000000,1.692156284936261,129390552.65124127,2212028.7971573095
24,2016-01-24 00:00:00.000000000,2.131691495370684,163090024.6945184,9578400.618786106
25,2016-01-25 00:00:00.000000000,2.48139608647395,189898537.77611715,10884776.210849365
26,2016-01-26 00:00:00.000000000,2.086782726986503,159744115.0673894,11669540.231742326
27,2016-01-27 00:00:00.000000000,2.384501158704437,182534589.0343229,7048626.2187527
28,2016-01-28 00:00:00.000000000,2.519719734523484,193030853.2041578,5043090.697552952
29,2016-01-29 00:00:00.000000000,2.486203232055895,190524391.83507282,6527897.661629626
30,2016-01-30 00:00:00.000000000,2.437601273512591,186862759.72151402,3674090.3975050296
31,2016-01-31 00:00:00.000000000,2.298766557449123,176275775.71473008,5834817.706592737
32,2016-02-01 00:00:00.000000000,2.221883059355513,170434539.30474818,3991411.3414352452
33,2016-02-02 00:00:00.000000000,2.403111855327034,184396131.5986807,3602402.308067327
34,2016-02-03 00:00:00.000000000,2.515949933456795,193120920.3597334,4030697.3392438097
35,2016-02-04 00:00:00.000000000,2.557178944302694,196350197.91323307,3532651.020271136
36,2016-02-05 00:00:00.000000000,2.532878565491474,194548161.01786965,2640353.6147680376
37,2016-02-06 00:00:00.000000000,2.517776369343559,193450250.47357807,1924574.7180617019
38,2016-02-07 00:00:00.000000000,2.950776113177157,226795324.20954534,7099203.5519039435
39,2016-02-08 00:00:00.000000000,3.165335693696386,243366581.58299115,9781404.736808997
40,2016-02-09 00:00:00.000000000,3.720453286688504,286139280.9840226,16355217.945349474
41,2016-02-10 00:00:00.000000000,4.427431437703359,340624194.15097886,29316397.613274623
42,2016-02-11 00:00:00.000000000,6.005000308112697,462140079.76210976,28752968.923665255
43,2016-02-12 00:00:00.000000000,5.475649283683189,421542668.4566254,9902598.244079141
44,2016-02-13 00:00:00.000000000,5.373284921940013,413798928.6182676,25637385.479897276
45,2016-02-14 00:00:00.000000000,5.169512436402438,398234915.54443055,11552061.707776096
46,2016-02-15 00:00:00.000000000,5.319058286377442,409885035.83075976,13786358.783861183
47,2016-02-16 00:00:00.000000000,4.368970122064963,336781865.25572217,15444552.58629855
48,2016-02-17 00:00:00.000000000,3.744022470740231,288700599.2729368,14847989.04999859
49,2016-02-18 00:00:00.000000000,4.397939042003922,339233532.70569825,17707643.869024027
50,2016-02-19 00:00:00.000000000,4.493895382965731,346746765.74089813,7215680.13205692
51,2016-02-20 00:00:00.000000000,4.301875677560981,332040532.28508496,8703306.94050525
52,2016-02-21 00:00:00.000000000,4.653970273276003,359334417.7208708,6458218.23306439
53,2016-02-22 00:00:00.000000000,5.608714257576696,433193897.2217689,15140246.890369605
54,2016-02-23 00:00:00.000000000,5.612091439849516,433593972.8044955,13534870.66434678
55,2016-02-24 00:00:00.000000000,6.134381259039694,474102955.51858103,11396482.659191374
56,2016-02-25 00:00:00.000000000,5.93625743323269,458942242.84471726,20614025.807056963
57,2016-02-26 00:00:00.000000000,5.897351626440898,456082096.8564275,9515283.257397331
58,2016-02-27 00:00:00.000000000,6.357091762158404,491795616.48932266,8967228.051799431
59,2016-02-28 00:00:00.000000000,6.440650848847282,498424354.01221955,9683081.005927766
60,2016-02-29 00:00:00.000000000,6.312028458049726,488620056.2443799,7546069.554011689
61,2016-03-01 00:00:00.000000000,7.560157049617909,585403826.3853717,20945587.168326743
62,2016-03-02 00:00:00.000000000,8.398318163034869,650547162.2177418,29743237.911609612
63,2016-03-03 00:00:00.000000000,9.504937042998197,736507630.9102448,40441406.846499346
64,2016-03-04 00:00:00.000000000,10.03776475108964,778040245.1399581,35604151.84878607
